lo	AI
afm	DCG
tf	NC
n---	SX
n----s	SXP
lvfosm	ACSFPA
lvfnsm	ACSFPN
lveosm	ACSFSA
lveþsm	ACSFSD
lvensm	ACSFSN
lkfosm	ACSMPA
lkfnsm	ACSMPN
lkeosm	ACSMSA
lkeþsm	ACSMSD
lkensm	ACSMSN
lhfosm	ACSNPA
lhfþsm	ACSNPD
lhfnsm	ACSNPN
lheþsm	ACSNSD
sþgkfþ	VAMPD
sþgkeþ	VAMSD
sþghfþ	VANPD
sþgheþ	VANSD
snm	VE
sbgf	VMP
sbge	VMS
