A Neu.Sg.Nom.Def	APWNSN
A Neu.Sg.Nom.Indef	APSNSN
A Ord	NO
A* Superl.Adv	DN
A Superl.Fem.Pl.Acc.Def	ASWFPA
A Superl.Fem.Pl.Acc.Indef	ASSFPA
A* Superl.Fem.Pl.Adv	DN
A Superl.Fem.Pl.Dat.Def	ASWFPD
A Superl.Fem.Pl.Dat.Indef	ASSFPD
A Superl.Fem.Pl.Gen.Def	ASWFPG
A Superl.Fem.Pl.Nom.Def	ASWFPN
A Superl.Fem.Pl.Nom.Indef	ASSFPN
A Superl.Fem.Sg.Acc.Def	ASWFSA
A Superl.Fem.Sg.Acc.Indef	ASSFSA
A Superl.Fem.Sg.Dat.Def	ASWFSD
A Superl.Fem.Sg.Dat.Indef	ASSFSD
A Superl.Fem.Sg.Gen.Def	ASWFSG
A Superl.Fem.Sg.Gen.Indef	ASSFSG
A Superl.Fem.Sg.Nom.Def	ASWFSN
A Superl.Fem.Sg.Nom.Indef	ASSFSN
A Superl.Msc.Pl.Acc.Def	ASWMPA
A Superl.Msc.Pl.Acc.Indef	ASSMPA
A* Superl.Msc.Pl.Adv	DN
A Superl.Msc.Pl.Dat.Def	ASWMPD
A Superl.Msc.Pl.Dat.Indef	ASSMPD
A Superl.Msc.Pl.Gen.Def	ASWMPG
A Superl.Msc.Pl.Nom.Def	ASWMPN
A Superl.Msc.Pl.Nom.Indef	ASSMPN
A Superl.Msc.Sg.Acc.Def	ASWMSA
A Superl.Msc.Sg.Acc.Indef	ASSMSA
A Superl.Msc.Sg.Dat.Def	ASWMSD
A Superl.Msc.Sg.Gen.Def	ASWMSG
A Superl.Msc.Sg.Nom.Def	ASWMSN
A Superl.Msc.Sg.Nom.Indef	ASSMSN
A Superl.Neu.Pl.Acc.Def	ASWNPA
A Superl.Neu.Pl.Acc.Indef	ASSNPA
A* Superl.Neu.Pl.Adv	DN
A Superl.Neu.Pl.Dat.Def	ASWNPD
A Superl.Neu.Pl.Dat.Indef	ASSNPD
A Superl.Neu.Pl.Gen.Def	ASWNPG
A Superl.Neu.Pl.Nom.Def	ASWNPN
A Superl.Neu.Pl.Nom.Indef	ASSNPN
A Superl.Neu.Sg.Acc.Def	ASWNSA
A Superl.Neu.Sg.Acc.Indef	ASSNSA
A Superl.Neu.Sg.Dat.Def	ASWNSD
A Superl.Neu.Sg.Dat.Indef	ASSNSD
A Superl.Neu.Sg.Gen.Indef	ASSNSG
A Superl.Neu.Sg.Nom.Def	ASWNSN
A Superl.Neu.Sg.Nom.Indef	ASSNSN
CC __UNDEF__	C
CLB __UNDEF__	K
<cs> Rel	CR
CS __UNDEF__	C
Det Adv	DN
Det Fem.Pl.Acc	PDFPA
Det Fem.Pl.Acc.Indef	PIFPA
Det Fem.Pl.Adv	PIFPA
